image_name,fracture_fracton,PnS2_sum,PnP3H_sum,PnP3V_sum,PnP4_sum,PnP6V_sum,PnL_sum,FnS2_sum,FnP3H_sum,FnP3V_sum,FnP4_sum,FnP6V_sum,FnL_sum
CS_5057_5_B_2_4_1,0.1244,1.2825,0.2517,0.2486,0.2875,0.1937,0.6324,4.67,1.1489,1.4045,2.2157,1.5538,4.4369
CS_5057_5_B_30_1_1,0.0993,0.9243,0.1827,0.196,0.2304,0.1548,0.5087,4.8224,1.476,1.3647,2.3059,1.563,4.8687
CS_5057_5_B_30_2_1,0.1478,1.578,0.3361,0.3338,0.3557,0.2369,0.6297,3.8598,1.3567,0.9913,2.2794,1.6068,3.7669
CS_5057_5_B_30_3_1,0.0886,0.7976,0.1593,0.1537,0.1812,0.1231,0.3467,5.0172,1.437,1.3438,2.0411,1.3949,4.7417
CS_5057_5_B_30_4_1,0.1014,1.0295,0.2175,0.2107,0.2537,0.1699,0.5233,5.6584,1.5651,1.486,2.476,1.6803,5.505
CS_5057_5_B_31_1_1,0.1063,0.8875,0.1808,0.1776,0.1954,0.1386,0.3366,3.3982,1.1019,1.2893,1.7977,1.3096,3.2294
CS_5057_5_B_31_2_1,0.1253,1.5227,0.2637,0.2761,0.3303,0.2118,0.8121,6.7267,1.2594,1.4616,2.5953,1.682,6.3212
CS_5057_5_B_31_3_1,0.1303,1.4021,0.2482,0.2618,0.2843,0.1873,0.5904,4.88,1.2322,1.0277,2.1399,1.4356,4.7066
CS_5057_5_B_31_4_1,0.1636,2.1374,0.4308,0.4318,0.5117,0.3149,1.164,5.8416,1.1926,1.4245,2.935,1.9088,5.7887
CS_5057_5_B_32_1_1,0.1084,1.1728,0.2031,0.2192,0.2495,0.1622,0.5533,6.0524,1.0625,1.4055,2.1793,1.4983,5.9726
CS_5057_5_B_32_2_1,0.1288,1.5177,0.2972,0.306,0.3134,0.1952,0.591,6.1405,1.6102,1.7944,2.3481,1.515,5.8898
CS_5057_5_B_32_3_1,0.1324,1.7027,0.3262,0.3244,0.3627,0.2178,0.7561,7.1976,1.7823,1.8397,2.7478,1.6347,6.7418
CS_5057_5_B_32_4_1,0.0674,0.6611,0.126,0.1182,0.1503,0.0989,0.3462,6.9125,1.6277,1.641,2.2365,1.4735,6.5611
